
16:42:53 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(success):  	/Vibius/ | Route => function has been called.

16:42:55 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(failure):  	/Vibius/afsfsafasfas | No route found =\= Debugger: No route was found!, /var/www/Vibius/Core/Router/Router.php at line 135

16:43:10 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(failure):  	/Vibius/afsfsafasfas | No route found =\= Debugger: No route was found!, /var/www/Vibius/Core/Router/Router.php at line 135

16:45:21 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(success):  	/Vibius/ | Route => function has been called.

16:45:21 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(success):  	/Vibius/ | Route => function has been called.

16:47:17 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(success):  	/Vibius/ | Route => function has been called.

16:47:40 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(success):  	/Vibius/ | Route => function has been called.

16:47:41 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(success):  	/Vibius/ | Route => function has been called.

16:47:43 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(failure):  	/Vibius/saffas | No route found =\= Debugger: No route was found!, /var/www/Vibius/Core/Router/Router.php at line 135

16:49:20 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(success):  	/Vibius/ | Route => function has been called. =\= Loading extension: myExtension

16:49:38 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(failure):  	/Vibius/sdgsgd | No route found =\= Debugger: No route was found!, /var/www/Vibius/Core/Router/Router.php at line 135

16:57:01 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(success):  	/Vibius/ | Route => function has been called. =\= Debugger: Class 'myFunction' not found, /var/www/Vibius/App/routes.php at line 27

16:57:02 | SessionID: h2sctevcg1bsdm4pfb1a27gh67 =\= Route requested(success):  	/Vibius/ | Route => function has been called. =\= Debugger: Class 'myFunction' not found, /var/www/Vibius/App/routes.php at line 27

